id,subject,name,units,term,description
CSUS_ACCY 271,Accountancy,Tax Accounting Periods and Methods,3 Units,"Fall, Spring","Concepts and principles of the overall cash, accrual and hybrid methods of tax accounting. Applications of specific methods such as: inventory costing and capitalization rules, installment sales, long-term contracts, and original issue discount/time value of money will be examined.  Lecture format to present the underlying rules and concepts. Case studies will then be analyzed and discussed by the students to examine the topics in a ""real-world"" context. "
CSUS_ACCY 272,Accountancy,Taxation of Business Enterprises I - Corporations,3 Units,"Fall, Spring","Discusses federal tax law as it applies to corporations, including the following topics: special deductions, formation, distributions, and complete liquidations.  Incorporates problem sets, case analysis, a corporate tax return project, and a research project to enhance analytical and critical thinking skills and compliance experience. "
CSUS_ACCY 273,Accountancy,Taxation of Business Enterprises II - Partnerships,3 Units,"Fall, Spring","Discusses general concepts, acquisitions and basis of partnerships interests, operations, transfers of partnership interests, and distributions. Incorporates problem sets, a partnership tax return project, and research projects to enhance analytical and critical thinking skills and compliance experience and to develop students' technical proficiency in the application of partnership concepts. "
CSUS_ACCY 274,Accountancy,"Estate, Gift and Trust Taxation",3 Units,"Fall, Spring","Taxation of decedent's estate and lifetime gifts; valuation of property subject to estate and gift taxes; income taxation of estates and trusts; estate planning.  Uses a lecture format to present the underlying rules and concepts.  Case studies will then be analyzed and discussed by the students to examine the topics in a ""real-world"" context. "
CSUS_ACCY 275,Accountancy,International Wealth and Asset Management,3 Units,"Fall, Spring","Importance of global asset protection and wealth management; domestic Statutory and case law authorities of selected European, American and Asian countries as they relate to wealth protection and asset management; bi-lateral international agreements relating to wealth management and asset protection; Multilateral agreement affecting wealth management and asset protection; tax and legal liability minimizing models."
CSUS_ACCY 276,Accountancy,U.S.Taxation of International Transactions,3 Units,"Fall, Spring",U.S. tax jurisdiction; U.S. source of income rules and related expense allocation; U.S. taxation of foreign taxpayers; transfer pricing issues; U.S. taxation of the foreign income of U.S. citizens and residents; cross border transactions; foreign currency tax issues; and U.S. bilateral tax agreements. Successful completion will satisfy the culminating experience for the MSBA/Taxation program. Students may select topics for their Master's projects that are outside the discipline topic of the class subject to the approval of the instructor. 
CSUS_ACCY 277,Accountancy,Comparative International Tax Systems,3 Units,"Fall, Spring","The similarities and differences between current global tax systems including jurisdiction and conflict of laws issues; the role of bilateral international tax treaties and other international tax related agreements in business operations; international tax planning for individuals and multinational enterprise including corporations, partnerships and estates and trusts."
CSUS_ACCY 278,Accountancy,International and Multi-State Taxation,3 Units,"Fall, Spring","Focuses on the taxation of cross-border transactions which encompasses discussion of the laws, rules, and regulations that affect transactions that cross both state and national borders. It covers various issues such as income sourcing and jurisdiction to tax. This course generally discusses these issues from the perspective of a U.S. person, but emphasizes and illustrates the general applicability of these rules for the tax regimes as established by other countries and states."
CSUS_ACCY 280,Accountancy,Management Control Systems,3 Units,"Fall, Spring","Development of the concepts and practice of management control systems. How alternative accounting-based planning, performance motivation and evaluation, and control systems fit and are used in varying strategic, management, and operative environments. How systems focus and motivate managers' decision behavior. How systems fit and are used in varying decision, competitive, and organization settings. Emphasis is on cases."
CSUS_ACCY 295,Accountancy,Internship in Accountancy,3 Units,"Fall, Spring","Supervised work experience in business, governmental service, or agencies for the purpose of increasing and enhancing student understanding of the nature and scope of the organization's accounting operations. Supervision is provided by the faculty and the cooperating agencies. Open to MS in Accountancy students. Petitions are obtained from Tahoe Hall 1035. "
CSUS_ACCY 296,Accountancy,Experimental Offerings in Accountancy,3 Units,"Fall, Spring","When a sufficient number of qualified students apply, a faculty member may conduct a seminar on a designated advanced topic in accountancy."
CSUS_ACCY 299,Accountancy,Special Problems in Accountancy,1 - 3 Units,"Fall, Spring","Individual projects or directed reading for students qualified to carry on independent work. Admission requires approval of faculty member under whom the individual work is to be conducted in addition to the approval from the Department Chair of Accountancy. Petitions to be obtained from the CBA Graduate Programs Office, Tahoe Hall 1037. "
CSUS_ACCY 500A,Accountancy,Thesis,1 - 3 Units,"Fall, Spring",Completion of a thesis approved for the Master's degree. 
CSUS_ACCY 500B,Accountancy,Project,1 - 3 Units,"Fall, Spring",Completion of a project approved for the Master's degree. 
CSUS_ACCY 500C,Accountancy,Comprehensive Examination for MS/Accountancy and MSBA/Taxation Degrees,1 - 3 Units," MS Accountancy degree, student must be in final semester of program.  ",Completion of a project approved for the Master's degree. 
CSUS_ACCY 501,Accountancy,Culminating Experience Project in Accounting and Ethics,3 Units, May be repeated for credit  ,"Each student conducts an individual project to fulfill the culminating experience graduation requirement of the MS in Accountancy program as required in Title V of the CA Educational Code. The course also covers the development of ethical standards, ethical reasoning, AICPA Code of Professional Conduct, accountants' professional responsibilities, financial reporting fraud and responses, corporate governance, and other relevant topics. "
CSUS_ANTH 1,Anthropology,Introduction to Biological Anthropology,3 Units,"Fall, Spring, Summer","Covers the concepts, methods of inquiry, and theory of biological evolution and their application to the human species. There is a specific focus on molecular, Mendelian and population genetics, mechanisms of evolution, primatology, paleoanthropology, biocultural adaptations, and human variation. The scientific method serves as the foundation to the course."
CSUS_ANTH 1A,Anthropology,Biological Anthropology Laboratory,1 Unit,"Fall, Spring","Designed to familiarize the student with the materials and techniques of physical anthropology.  Includes human and other primate osteology, anthropometric techniques, and allied methods in the gathering and analysis of physical anthropological data. Through working with the departmental collection of fossil casts and a wide variety of charts and models, the student also becomes familiar with the stages of human and primate evolution. "
CSUS_ANTH 2,Anthropology,Introduction to Cultural Anthropology,3 Units,"Fall, Spring","Introduction to anthropological approaches in the study of people and cultures. Using ethnographic case studies, the course contributes to a critical understanding of continuity and diversity in peoples' lifestyles, social institutions, and cultural practices in different societies around the world. The course also examines the impact of political, economic, and social changes, such as colonization, decolonization, and globalization on people and cultures over the last century."
CSUS_ANTH 2H,Anthropology,Introduction to Cultural Anthropology - Honors,3 Units, Students must be admitted to the GE Honors Program. ,"Introduction to anthropological approaches in the study of people and cultures. Using ethnographic case studies, contributes to a critical understanding of the continuity and diversity in peoples' lifestyles, social institutions, and cultural practices in different societies around the world. Examines the impact of political, economic, and social changes, such as colonization, decolonization, globalization, etc., on people and cultures over the last century. Intended for students enrolled in the University's GE Honors Program. "
CSUS_ANTH 3,Anthropology,Introduction to Archaeology,3 Units,"Fall, Spring","Introduces students to the methods and theories used by archaeologists to find, recover, and interpret such remains in an effort to reconstruct and understand the lives of earlier peoples. The class uses archaeological case studies, films, and hands-on examples of tools and other artifacts produced by simple stone age hunters and more complex civilizations that lived in California and other parts of the world."
CSUS_ANTH 4,Anthropology,"Language, Culture, and Critical Thinking",3 Units,"Fall, Spring","Introduction to the abstract and formal structures of language and cultural dimensions of human communication via major linguistic anthropological concepts, theoretical assumptions, and methodologies. Addresses the logical, formal relationship between underlying rules of natural languages while critically analyzing how speakers from different cultures use language to convey complex social and cultural information. Course illuminates how language is used to create and reinforce relationships of power (race, class, gender); develops ability to recognize linguistic fallacies; and instructs in basic critical thinking skills."
CSUS_ANTH 13,Anthropology,"Magic, Witchcraft and Religion",3 Units,"Fall, Spring","Cross-cultural study of the forms and functions of supernatural beliefs and associated rituals in various societies of Africa, Asia, aboriginal Australia, Oceania, South America, native North America and elsewhere. Emphasis is on understanding beliefs and rituals within given social contexts, and using broad comparisons to derive insight into the general functions of beliefs and rituals in human life."
CSUS_ANTH 15,Anthropology,World Prehistory and the Evolution of Modern Humanity,3 Units,"Fall, Spring","Introduction to the broad sweep of world prehistory, from the emergence of human culture through the development of domestication of plants and animals, and to the origins of complex societies. Included are major cultural developments on every continent, emphasizing similarities and differences in the nature and timing of key technological, cultural, and sociological changes. Methodologies for learning about the past, major archaeological discoveries, important personalities, and contributions to the modern world are discussed in the context of understanding the strengths and limitations of a scientific approach to human prehistory."
CSUS_ANTH 16,Anthropology,Comparative Early Civilizations,3 Units,"Fall, Spring","Examines the emergence and development of early civilizations.  Studies state formation, urbanization, market system development, and other processes relevant to the evolution of early civilizations from the standpoints of cross-cultural comparison and modern anthropological theory.  The goal is to identify cross-cultural regularities as well as critical differences that can explain the various evolutionary trajectories of these societies.  The civilizations that will be contrasted include societies from Mesopotamia, Egypt, the Indus Valley, China, Mesoamerica, Andean South America, and other regions."
CSUS_ANTH 21,Anthropology,Freshman Seminar: Becoming an Educated Person,3 Units,"Fall, Spring","Introduction to the nature and possible meanings of higher education, and the functions and resources of the University. Designed to help students develop and exercise fundamental academic success strategies and to improve their basic learning skills. Provides students with the opportunity to interact with fellow classmates and the seminar leader to build a community of academic support and personal support."
CSUS_ANTH 101,Anthropology,Cultural Diversity.,3 Units,"Fall, Spring, Summer","Focuses on analyzing the historically conditioned political, economic and social factors that have contributed to cultural diversity in the U.S; a critical anthropological approach is developed to explore the intersection of race, class, gender, ethnicity and sexuality; the political economy of institutions and ideas, such as racism, classism, sexual stereotyping, family, religion, state, color-blindness, multiculturalism, etc.; and, discourses of cultural diversity in the U.S."
CSUS_ANTH 102,Anthropology,The Nature of Culture.,3 Units,"Fall, Spring","An upper division general introduction to cultural anthropology. Divided into two major parts: a survey of theories, methods and concepts of cultural anthropology, and an introduction to applied cultural anthropology. "
CSUS_ANTH 103,Anthropology,Psychological Anthropology,3 Units,"Fall, Spring","Cross-cultural comparative approach to human cognition, child-training practices, personality development, deviant behavior, cultural psychiatry, and data gathering techniques. "
CSUS_ANTH 104,Anthropology,The History of Anthropology,3 Units,"Fall, Spring",Anthropological theory in historical perspective. 
CSUS_ANTH 105,Anthropology,Anthropology of War,3 Units,"Fall, Spring","Examination of the nature of war, primarily as it occurs in pre-industrial societies, and a survey of the kinds of explanations of this phenomenon current in anthropology. Emphasis is on understanding the complexity, variability, and cultural imbeddedness of war as it occurs around the world. "
CSUS_ANTH 106,Anthropology,Culture and Personality of the Chicano Child,3 Units,"Fall, Spring",Study of child growth and development patterns universal to all children with focus on the pressures and effects of the Mexican and Anglo cultures on the development of the Chicano child.
CSUS_ANTH 107,Anthropology,Anthropology of Hunters and Gatherers,3 Units,"Fall, Spring","Survey of the rapidly disappearing life way which anthropologists call hunting and gathering, with economies based on the use of wild plant and animal resources. Using ethnographic examples from the Arctic, southern Africa, rainforests in South America, deserts of Australia, and western North America, explores variation in hunter-gatherer societies with respect to differences in environment, technology, social organization, and the historical effects of interaction with more complex cultural groups. Models that attempt to explain long-term changes in this life way are also explored. "
CSUS_ANTH 108,Anthropology,Economic Anthropology,3 Units,"Fall, Spring","Examines the fundamentals economic anthropology through a focus on production, exchange, and consumption in a range of historical and ethnographic contexts. Introduces different frameworks for theorizing the economy and explaining human behavior and decision-making. Addresses central questions and issues in cultural anthropology on the origins of value, wealth and social stratification, the meanings of work, gift exchange and reciprocity, property regimes, morality and debt, marketing and desire.  "
CSUS_ANTH 109,Anthropology,Ecological and Evolutionary Approaches to Anthropology,3 Units,"Fall, Spring","Survey of anthropological research regarding the relationships between human behavior, ecology, and evolution.  Reviews historic development of research in this field, and contrasts approaches based in ecological and evolutionary theory.  Reviews and evaluates of case studies.  Topics include hunter-gatherer and hominid economy and social organization, foraging theory, work effort, population growth and regulation, origins of agriculture, warfare, ritual and resource conservation, and origins of complex society. "
CSUS_ANTH 110,Anthropology,Archaeological Method and Theory,3 Units,"Fall, Spring","Traces the development of archaeology from its inception in the eighteenth century up to the present time. Readings, lectures, and class assignments follow the evolution of archaeological method and theory in relation to changing ideas about the role of culture, environment, and technology within the broader discipline of anthropology. "
CSUS_ANTH 111,Anthropology,California Archaeology,3 Units,"Fall, Spring","Pre-contact California encompassed some of the most extensive environmental and cultural diversity ever to exist on the planet, containing widely divergent biota, many distinct languages and cultures, and among the densest hunter-gatherer populations ever recorded. At least 11,000-12,000 years of human occupation have been marked by multiple migrations and major shifts in technological and social organization. Explores long-term trends in cultural development across the state, and examines models used to explain why semi-permanent settlements, intensive subsistence strategies, and complex social institutions arose in some times/places and not others. "
CSUS_ANTH 112,Anthropology,Great Basin Archaeology,3 Units,"Fall, Spring","Explores the cultural and natural history of the Great Basin from the last glacial maximum into the historic era. Though largely arid, this region in fact manifests considerable environmental variability and has seen significant climatic alterations since the Pleistocene. Human occupation of the Great Basin witnessed major changes in demography, technology, subsistence practices, and sociopolitical organization over the last 10-12,000 years. The course looks to understand cultural and environmental variability across the region through examination of the long-term material record and consideration of anthropological and biological models. "
CSUS_ANTH 113,Anthropology,Prehistory of the Southwest,3 Units,"Fall, Spring","Survey of the prehistory of the Arizona, New Mexico, Western Colorado, Utah, and adjacent regions of Nevada, Texas and northwestern Mexico.  Major prehistoric cultures of the Southwest (Hohokam, Anasazi, Mogollon, Fremont) are covered in detail.  Focus on major transitions in subsistence and social organization emphasizing current issues of archaeological research.  Cultural influences from outside areas are also considered. "
CSUS_ANTH 114,Anthropology,North American Prehistory,3 Units,"Fall, Spring","Familiarizes students with the archaeological record of North America, and provides an analytical framework through which it may be understood in anthropologically meaningful terms. This will be accomplished by considering some of the explanations that have been proposed to account for the prehistory of the continent, and by examining the archaeological remains and cultural sequences found in various areas, including the North and Southeast, Great Plains, Pacific Northwest, and arctic/subarctic regions. "
CSUS_ANTH 115,Anthropology,Origins of Agriculture,3 Units,"Fall, Spring","Surveys and evaluates worldwide anthropological perspectives of the origins of agriculture and the rise of complex society. Traces the development of major archaeological theories for the inception and spread of agriculture and civilization, acquainting students with groundbreaking archaeological research associated with each theoretical perspective. Current archaeological research is reviewed in-depth, providing a context for critique of the theories. Examples from North America, Latin America, the Middle East, India and China are compared and contrasted using movies, readings, and lectures. "
CSUS_ANTH 116,Anthropology,Old World Prehistory:  Paleolithic Archaeology,3 Units,"Fall, Spring","Old World Paleolithic archaeology from the emergence of hominids until the development of agriculture and civilization. Cultural developments in Africa, Asia, Europe and Australia are examined with the aim of highlighting similarities and differences in the process of technological, demographic, and sociopolitical change within each region. Explanatory models are offered to account for cultural evolution in various parts of the Old World are explored and assessed."
CSUS_ANTH 119,Anthropology,Analysis of Faunal Remains,4 Units,,"Seminar on techniques and methods employed in analysis of faunal remains from archaeological sites, coupled with a laboratory providing hands-on identification of mammalian remains from these settings. Large focus on quantitative methods used in zooarchaeology to infer behavioral patterns of the human past and their paleoenvironments. "
CSUS_ANTH 120,Anthropology,Introductory Statistics for Anthropologists,3 Units,"Fall, Spring","Covers the conceptual framework involved in quantitative methods of data analysis commonly employed in anthropology. The emphasis is primarily on understanding concepts and secondarily on learning techniques of data analysis. Topics include data description and distributions, estimation procedures, hypothesis testing, and model fitting. Illustration of concepts in lecture are made with data from archaeology, physical anthropology, and social/cultural anthropology. "
CSUS_ANTH 121,Anthropology,Archaeology of Mexico,3 Units,. ,"Provides an upper division introduction to the archeology of Mesoamerica for students not majoring in anthropology. Discusses the evolution of the ancient civilizations of Mesoamerica, including Mexico, Guatemala, Belize, Honduras, and El Salvador. Examines the development of societies from the earliest inhabitants to the growth of empires. Includes coverage of the Olmecs, Monte Alban, Teotihuacan, the Classic Maya, the Toltecs, and the Aztecs. "
CSUS_ANTH 122,Anthropology,The Evolution of Early Mesoamerican States,3 Units,"Fall, Spring","Traces the emergence of pre-hispanic state societies in Mesoamerica from the growth of the earliest settlements to the collapse of the Aztec empire. Analyzes how complex societies evolved in Mesoamerica, focusing on such evidence as household and village social organization, craft specialization and interregional exchange, religion and ideology, and the logistics of state management and imperial expansion. "
CSUS_ANTH 123,Anthropology,Ancient Technology,3 Units,"Fall, Spring","Examines the importance of various preindustrial technologies, and the techniques and methods involved in their manufacture and use. Topics include stone, bone, wood, and hide working, ceramics, weaving, metallurgy, and other crafts essential to human survival in ancient and contemporary societies around the world."
CSUS_ANTH 124,Anthropology,Environmental Archaeology,3 Units,"Fall, Spring","All human societies depend on their natural surroundings, and so the reconstruction of prehistoric environments is an essential part of archaeological interpretation. Three interrelated aspects of environmental archaeology are considered: (1) general approaches to paleoenvironmental reconstruction, employing various biological and geological indicators; (2) the analysis of human plant and animal food remains; and (3) the geological and other processes that are responsible for the formation of archaeological deposits. "
CSUS_ANTH 125,Anthropology,Historical Archaeology,3 Units,"Fall, Spring","Written history only records a small portion of human activities that occurred in the recent past. Explores the numerous methods of investigation, analysis and interpretation that are available to aid the historical archaeologist in discovering missing information and in some cases correcting erroneous statements, assumptions and interpretations about the past."
CSUS_ANTH 126,Anthropology,Techniques of Archaeological Analysis,3 Units, May be repeated once for credit.  ,"Introduces students to various approaches to archaeological analysis, focusing on how different classes of data are collected, classified, and interpreted to resolve research issues. Includes such topics as the handling, treatment, and analysis of flaked and ground stone tools, plant and animal food remains, and other types of archaeological materials. Lecture one hour, laboratory six hours. "
CSUS_ANTH 127,Anthropology,Cultural Resource Management in Theory and Practice,3 Units,"Fall, Spring","Takes a wide-ranging look at how cultural resources are managed and preserved in California, the greater U.S., and other parts of the world. More than just a review of applicable laws and regulations, it is designed to offer a history of historic preservation, examine its role in our society, and explore the prospects for its continued presence. Practical aspects of Cultural Resource Management (CRM) are reviewed with respect to designing, budgeting, and performing archaeological surveys, site evaluation studies, and data recovery or mitigation programs. "
CSUS_ANTH 128,Anthropology,Indians of California,3 Units,"Fall, Spring","Provides a survey of the traditional cultures of California Native American groups as they existed immediately after Western contact. Exploration of the ecological linguistic, economic, social, political, and religious diversity of California Native American groups provides a background for analysis of current anthropological theories of hunter-gatherer adaptations, subsistence intensification, political economy, cultural complexity, and California prehistory."
CSUS_ANTH 129,Anthropology,Human Use of Caves From An Archaeological Perspective,3 Units,"Fall, Spring","Unique character of caves and their deposits present many challenges that cannot always be met with conventional archaeological, methodological and theoretical approaches. Students will be exposed to investigative techniques that facilitate the understanding of these unique archaeological resources. The investigation of the human use of caves through a worldwide perspective provides students with a thorough introduction to the study of these significant resources. "
