id,subject,name,units,term,description
CalPoly_AERO 447,Aerospace Engineering,Spacecraft Design I,4 units,['Fall'],Preliminary layout of typical space vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of selected components and preparation of necessary drawings.
CalPoly_AERO 448,Aerospace Engineering,Spacecraft Design II,3 units,['Winter'],Preliminary layout of typical space vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of selected components and preparation of necessary drawings. 3 laboratories. Open to students enrolled in the multidisciplinary design minor.
CalPoly_AERO 449,Aerospace Engineering,Spacecraft Design III,3 units,['Spring'],Preliminary layout of typical space vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of selected components and preparation of necessary drawings. 3 laboratories. Open to students enrolled in the multidisciplinary design minor.
CalPoly_AERO 450,Aerospace Engineering,Introduction to Aerospace Systems Engineering,4 units,['Winter'],"Aerospace systems and subsystems. Systems integration. Development of system requirements. Analysis, modeling and simulation of complex systems. Project management. Cost analysis. Optimization and trade studies."
CalPoly_AERO 452,Aerospace Engineering,Spaceflight Dynamics II,4 units,['Fall'],"Relative orbital motion and rendezvous, linearization of the equations of motion. Clohessy - Wiltshire equations. Two - impulse rendezvous. Aspherocity of the earth, aerodynamic drag, solar radiation pressure, and n - body perturbations on an orbit. Encke, Cowell, and Variation of Parameters solution techniques. Speciality orbit due to perturbations such as low thrust trajectories, sun - synchronous, and molynia orbits."
CalPoly_AERO 460,Aerospace Engineering,Aerospace Engineering Professional Preparation,1 unit,['Fall'],"Topics on professional development for student success including resume building and career prospecting, current events in the aerospace industry, graduate studies, engineering ethics, intellectual property, non - disclosure agreements, teamwork, and innovation and entrepreneurship."
CalPoly_AERO 463,Aerospace Engineering,Senior Project Laboratory I,2 units,['tbd'],"Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment. Project involves, but is not limited to, physical modeling and testing of integrated design and may include students from other disciplines. Formulation of outline, literature review, and project schedule. 2 laboratories. Note : although AERO463,"
CalPoly_AERO 464,Aerospace Engineering,Senior Project Laboratory II,3 units,['tbd'],"Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment. Project involves, but is not limited to, physical modeling and testing of integrated design and may include students from other disciplines. Formulation of outline, literature review, and project schedule. 3 laboratories. Note : although AERO463,"
CalPoly_AERO 465,Aerospace Engineering,Aerospace Systems Senior Laboratory,1 unit,"['Fall', 'Winter', 'Spring']","Culminating laboratory based experience. Experiments require the integration of the many disciplines in Aerospace Engineering. The successful completion of each experiment requires synthesis and integration of the fundamental concepts of the engineering sciences. Experimentation in the areas of aeroelasticity, active vibration control, inertial navigation, thermal control, hardware - in - the - loop simulation, and momentum exchange."
CalPoly_AERO 470,Aerospace Engineering,Selected Advanced Topics,1-4 units,['tbd'],Directed group study of selected topics for advanced students. Open to undergraduate and graduate students. Class Schedule will list topic selected. Total credit
CalPoly_AERO 471,Aerospace Engineering,Selected Advanced Laboratory,1-4 units,['tbd'],Directed group laboratory study of selected topics for advanced students. Open to undergraduate and graduate students. Class Schedule will list topic selected. Total credit
CalPoly_AERO 493,Aerospace Engineering,Cooperative Education Experience,2 units,['cr/nc'],"Part - time work experience in business, industry, government, and other areas of student career interest. Positions are paid and usually require relocation and registration in course for two consecutive quarters. Formal report and evaluation by work supervisor required. Credit / No Credit grading only. No major credit allowed ; total credit"
CalPoly_AERO 494,Aerospace Engineering,Cooperative Education Experience,6 units,['cr/nc'],"Full - time work experience in business, industry, government, and other areas of student career interest. Positions are paid and usually require relocation and registration in course for two consecutive quarters. Formal report and evaluation by work supervisor required. Credit / No Credit grading only. No major credit allowed ; total credit"
CalPoly_AERO 495,Aerospace Engineering,Cooperative Education Experience,12 units,['cr/nc'],"Full - time work experience in business, industry, government, and other areas of student career interest. Positions are paid and usually require relocation and registration in course for two consecutive quarters. A more fully developed formal report and evaluation by work supervisor required. Credit / No Credit grading only. No major credit allowed ; total credit"
CalPoly_AERO 500,Aerospace Engineering,Individual Study,1-4 units,"['Fall', 'Winter', 'Spring', 'Summer']",Advanced study planned and completed under the direction of a member of the department faculty. Open only to graduate students who have demonstrated ability to do independent work. Enrollment by petition. Total credit
CalPoly_AERO 510,Aerospace Engineering,Systems Engineering I,4 units,['Winter'],Project management. Scheduling and budgeting. Queuing theory. Process control and life - cycle cost analysis. Contracts and negotiation. 4 lectures. Crosslisted as AERO / IME510.
CalPoly_AERO 511,Aerospace Engineering,Systems Engineering II,4 units,['Spring'],"Risk management. Design strategies to meet system / mission requirements. Design for supportability, manufacturability, reliability, etc. Quality function development and quality control concepts. 4 lectures. Crosslisted as AERO / IME511."
CalPoly_AERO 512,Aerospace Engineering,Aerospace Vehicle Software Application,4 units,['Winter'],"Computer system requirements for aerospace vehicles. Typical aerospace vehicle computer architectures. Software testing, verification and validation. Vehicle automatic systems. Risks and benefits of vehicle autonomous operations. Integration of software with vehicle subsystems. Software development cost / schedule estimation."
CalPoly_AERO 513,Aerospace Engineering,Applications of Unmanned Aircraft Systems,4 units,['Fall'],"Engineering development and analysis of unmanned aircraft systems ( UAS ) as airborne tools for societal benefit. Use of UAS for military, public service, and commercial purposes. Characterization of missions and applications. Development of system requirements and concepts of operation. Evaluation of relative merits and limitations of UAS."
CalPoly_AERO 515,Aerospace Engineering,Continuum Mechanics,4 units,['Spring'],Vectors and tensors stress analysis. Analysis of deformation. Velocity fields and compatibility conditions. Constitutive equations. Isotropy. Mechanical properties of real fluids and solids. Field equations and boundary conditions in fluid mechanics problems and applications in elasticity. Active remodeling of structures.
CalPoly_AERO 517,Aerospace Engineering,Multidisciplinary Design and Optimization,4 units,['Winter'],"Numerical optimization applied to the design of complex systems. Multi - criteria decision making, unconstrained and constrained optimization methods, system sensitivity analysis, system decomposition techniques, and multidisciplinary design optimization."
CalPoly_AERO 519,Aerospace Engineering,Fundamentals of Vehicle Dynamics and Control,4 units,['Spring'],Fundamentals of particle and rigid body dynamics as they apply to aerospace vehicles. Kinematic variables and coordinate transformations. Attitude dynamics. Fundamentals of feedback control and its application to aerospace systems. Stability analysis. Numerical simulation. Not open to students with credit in AERO 451 and AERO452.
CalPoly_AERO 522,Aerospace Engineering,Boundary-Layer Theory,4 units,['Spring'],"Concept of boundary - layer. Boundary - layer equations, similarity transformation, integral and differential methods for steady, two - dimensional laminar and turbulent boundary layers."
CalPoly_AERO 523,Aerospace Engineering,Turbulence,4 units,['Winter'],"Flow physics of turbulence. Turbulence scales and structures. Reynolds equations. Vorticity dynamics. Energy production, convection, and dissipation. Similarity rules and turbulence modeling for jets, wakes, mixing and boundary layers. Effect of turbulence on noise, combustion, heat transfer, and flow control. Not open to students with credit in AERO529."
CalPoly_AERO 525,Aerospace Engineering,Computational Fluid Dynamics,4 units,['Winter'],"Classification of partial differential equations. Numerical methods applicable to the solution of elliptic, parabolic, and hyperbolic partial differential equations. Consideration of accuracy and stability of numerical methods. Application to the fundamental equations of fluid dynamics, grid generation, turbulence modeling."
CalPoly_AERO 526,Aerospace Engineering,Spacecraft Thermal/Fluid Control,4 units,['Winter'],"Satellite thermal / fluid control hardware. Governing equations for flow and heat transfer. Surface tension and liquid / vapor interface. Heat transfer by free convection, forced convection and radiation in low - gravity environment. Heat pipes. Capillary - pumped loops. Cryogenic systems. Fluid management in space."
CalPoly_AERO 528,Aerospace Engineering,Laminar Flow Aircraft Development,4 units,['Fall'],Fundamentals of laminar boundary layers in the design of aircraft. History and development of laminar flow aircraft. Modern approaches to designing for laminar flow. Analysis and testing of laminar flow designs and determination of practical limits for laminar flow application.
CalPoly_AERO 529,Aerospace Engineering,Turbulence and Flow Control,4 units,['Winter'],"Physics and analysis of turbulence. Vorticity, mixing, jets, wakes, boundary layer transition, scales and structures. Effects of turbulence on noise and aerodynamics. Experiments and simulations in boundary layer transition, separation phenomena, passive and active flow control. Not open to students with credit in AERO523."
CalPoly_AERO 531,Aerospace Engineering,Airworthiness and Aeroelasticity,4 units,['Fall'],Fundamentals of airworthiness and aeroelasticity of flight vehicles. Flight envelope and aircraft loads. Loads and normal acceleration for various maneuvers. Gust loads. Load distribution and diversions. Control effectiveness and reversal. Fatigue and structural vibration. Introduction to flutter.
CalPoly_AERO 532,Aerospace Engineering,Advanced Aerospace Composite Design,4 units,['Winter'],"Behavior of composite materials. Bending, buckling, and vibration of laminated plates. Fatigue and fracture mechanics analysis of composite structures. Optimum design of composite pressure vessels."
CalPoly_AERO 533,Aerospace Engineering,Finite Elements for Aerospace Structural Analysis,4 units,['Spring'],"Overview of theoretical and applied methods of finite element analysis for aerospace structures including composite and light weight structures. Topics include basic equations of elasticity, solutions of linear systems of equations transformation, global stiffness matrix, Bernoulli - Euler element, plane stress triangles, finite element formulation, isoparametric elements, alternative formulation, eigenvalue problems and dynamic analysis."
CalPoly_AERO 534,Aerospace Engineering,Aerospace Structural Dynamics Analysis,4 units,['Fall'],Structural dynamics and aeroelasticity of flight vehicles. Vibration and forced response of continuous structures. Introduction to unsteady aerodynamic analysis methods. Normal - Mode Method and Modal Analysis. Framed structures and rigid body structures. Airworthiness and aeroelasticity. Random Vibrations.
CalPoly_AERO 535,Aerospace Engineering,Advanced Aerospace Structural Analysis,4 units,['Spring'],Types of failure. Theories of failure. Stability of structures. Advanced flight vehicle and fracture mechanics analysis and design. Fundamentals and applications of modern fatigue analysis in the aerospace industry.
CalPoly_AERO 540,Aerospace Engineering,Elements of Rocket Propulsion,4 units,['Winter'],"Thrust and impulse equations, propellant composition and mixture ratios, nozzle expansion ratios, solid and liquid propellant combustion, internal ballistics, thermo - chemical computations, chemical kinetics, and combustion instability, nozzle design and exhaust plumes."
CalPoly_AERO 541,Aerospace Engineering,Air Breathing Propulsion,4 units,['Spring'],"Aerothermodynamics of propulsion systems, power plant selection and design, on - off design performance, component characterization, component design, component matching, optimization, and introduction to power plant and airframe integration systems for aircraft."
CalPoly_AERO 546,Aerospace Engineering,Spacecraft Systems Design,4 units,['Fall'],"Spacecraft missions, vehicle types, and applications. Introduction and preliminary sizing of major subsystems of a space system. Introduction to and design drivers for space environments, propulsion system, power system, structural design, spacecraft dynamics and attitude control, orbit mechanics, thermal control, communications, and ground segments."
CalPoly_AERO 551,Aerospace Engineering,Global Positioning Satellite Navigation Systems,4 units,['Spring'],Principles of Global Positioning Satellite navigation systems. Kalman filter design and application to integrated navigation and guidance systems. Statistical evaluation and test methods in aerospace. Interactive computer simulations.
CalPoly_AERO 553,Aerospace Engineering,Advanced Control Theory,4 units,['Winter'],"Advanced control theory techniques. Analytical and computational methods applied to dynamic systems. State space system representation, solutions to dynamic systems, non - linear and linear stability analysis, full - state and output feedback, controllability and observability and advanced control topics ( LQR / LQG, Kalman Filters, Adaptive Control, etc. )."
CalPoly_AERO 557,Aerospace Engineering,Advanced Orbital Mechanics,4 units,['Winter'],"Initial orbit determination using angles only methods. Various Solutions to Lambert 's Problem. Orbit and transfer optimization, libration points, halo orbits, and secondary orbit perturbations."
CalPoly_AERO 560,Aerospace Engineering,Advanced Spacecraft Dynamics and Control,4 units,['Winter'],"Attitude determination and control of rigid spacecraft via reaction wheels, control moment gyros and thrusters. Modeling, analysis and control of flexible spacecraft. Non - linear stability theory as applied to spacecraft."
CalPoly_AERO 561,Aerospace Engineering,Vehicle Integration and Testing,2 units,['Fall'],Space vehicle integration requirements and procedures. Clean room requirements and operations. Quality control and inspection. Qualification and acceptance testing requirements. Test equipment. Vibration and shock testing. Space environment and thermal - vac testing. Development of test procedures.
CalPoly_AERO 562,Aerospace Engineering,Space Operations,2 units,['Fall'],Launch operations and vehicle integration with launch vehicle. In - orbit operations and maneuvers. Spacecraft tracking. Telemetry and command. Ground systems. Failure detection and identification. Emergency operations.
CalPoly_AERO 565,Aerospace Engineering,Advanced Topics in Aircraft Design,4 units,['Spring'],Application of advanced analytic engineering methods to aircraft design problems. Analysis and synthesis of advanced topics related to design of aircraft.
CalPoly_AERO 566,Aerospace Engineering,Advanced Topics in Spacecraft Design,4 units,['Fall'],Application of advanced engineering tools to the design of space vehicles. System architecture and mission design. Concept of operations. Requirements development and flow down. System and subsystems trade studies and preliminary design.
CalPoly_AERO 567,Aerospace Engineering,Launch Vehicle and Missile Design,4 units,['Spring'],Basic launch vehicle / missile types. Launch vehicle subsystems and their interactions. Vehicle requirements development and flow down. Payload accommodations. System and subsystems trade studies and preliminary design.
CalPoly_AERO 568,Aerospace Engineering,Aerodynamic Research and Development I,2 units,['Winter'],"Immersive team - based approach to an aerodynamic research and development cycle. Theoretical work, preliminary design based upon computational fluid dynamics, and design of experiments. Advanced techniques in using a multi - variable wind tunnel. Validation of numerical work using correlation techniques."
CalPoly_AERO 569,Aerospace Engineering,Aerodynamic Research and Development II,2 units,['Spring'],"Continuation of AERO568. Single and multi - variable design optimization cycles based upon computational fluid dynamics. Numerical and experimental flow visualization, high - fidelity verification wind tunnel testing of optimized designs, and archival - quality technical reporting of aerodynamic data."
CalPoly_AERO 570,Aerospace Engineering,Selected Advanced Topics,4 units,['tbd'],Directed group study of selected topics for graduate students. Open to undergraduate and graduate students. The Schedule of Classes will list topic selected. Total credit
CalPoly_AERO 571,Aerospace Engineering,Selected Advanced Topics Laboratory,1-4 units,['tbd'],Directed group laboratory study of selected topics for advanced students. Open to undergraduate and graduate students. Class Schedule will list topic selected. Total credit
CalPoly_AERO 593,Aerospace Engineering,Cooperative Education Experience,2 units,['cr/nc'],"Advanced study analysis and part - time work experience in student 's career field ; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. Credit / No Credit grading only."
CalPoly_AERO 594,Aerospace Engineering,Cooperative Education Experience,6 units,['cr/nc'],"Advanced study analysis and full - time work experience in student 's career field ; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. Credit / No Credit grading only."
CalPoly_AERO 595,Aerospace Engineering,Cooperative Education Experience,12 units,['cr/nc'],"Advanced study analysis and full - time work experience in student 's career field ; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government. Must have demonstrated ability to do independent work and research in career field. A fully - developed formal report and evaluation by work supervisor required. Credit / No Credit grading only."
CalPoly_AERO 596,Aerospace Engineering,Culminating Experience in Space Systems Engineering,5 units,"['Fall', 'Winter', 'Spring', 'Summer']",Performance of comprehensive systems analysis of a space system. Communication of the results and findings of such evaluations in written report and by oral presentation. Conducted under supervision of faculty.
CalPoly_AERO 599,Aerospace Engineering,Thesis (Design Project),1-9 units,"['Fall', 'Winter', 'Spring', 'Summer']","Each individual or group will be assigned a project for solution under faculty supervision as a requirement for the master 's degree, culminating in a written report / thesis."
CalPoly_AGB 101,Agribusiness,Introduction to Agribusiness,4 units,['Fall'],"Orientation to the agribusiness sector of agriculture. An overview of the breadth, size, scope and management aspects of the agricultural business complex. Agribusiness students are required to complete this within the first year of the major."
CalPoly_AGB 200,Agribusiness,Special Problems for Undergraduates,1-2 units,['cr/nc'],"Individual investigation, research, studies, or surveys of selected problems. Total credit limited to 4 units, with a maximum of 2 units per quarter. Credit can only be used to satisfy free electives. Credit / No Credit grading only."
CalPoly_AGB 202,Agribusiness,Introduction to Sales,4 units,"['Fall', 'Winter', 'Spring']","Development of professional business - to - business selling principles within the supply chain, including an introduction to understanding the sales process from different buying and selling perspectives, communication techniques, and basic sales competency."
CalPoly_AGB 212,Agribusiness,Agricultural Economics,4 units,"['Fall', 'Winter', 'Spring']",Theoretical development of factors affecting demand and supply for food and fiber and for agricultural inputs. Methods of selecting optimal levels of agricultural production and consumption variables. Evaluation of market structure and price formulation for agricultural products and resources.
CalPoly_AGB 214,Agribusiness,Agribusiness Financial Accounting,4 units,"['Fall', 'Winter', 'Spring']","Principles of financial accounting in agribusiness. Preparation for understanding and interpreting financial statements. Exploration of financial reporting standards to provide an understanding of how financial events are reflected in financial statements. The importance of social responsibility in accounting. The accounting cycle, from transactions posting to financial statements through spreadsheet applications."
CalPoly_AGB 260,Agribusiness,Agribusiness Data Literacy,4 units,"['Fall', 'Winter', 'Spring', 'Summer']","Using data and analysis in making decisions related to agribusiness. Developing basic and intermediate spreadsheet skills necessary to organize, analyze, and summarize information. Development of data management and analysis as tools to assist in agribusiness problem - solving."
CalPoly_AGB 270,Agribusiness,Selected Topics,1-4 units,['tbd'],Directed group study of selected topics. The Schedule of Classes will list title selected. Total credit
CalPoly_AGB 301,Agribusiness,Food and Fiber Marketing,4 units,"['Fall', 'Winter', 'Spring']","Food and fiber marketing, examining commodity, industrial, and consumer product marketing from a managerial viewpoint. A global perspective in understanding consumer needs and developing the knowledge of economic, political, social and environmental factors that affect food and fiber marketing systems."
CalPoly_AGB 308,Agribusiness,Introduction to Agribusiness Finance,4 units,"['Fall', 'Winter', 'Spring']","Concepts and analytical methods related to agricultural finance. Focus on applied spreadsheet analysis of financial statements, time value of money, risk and return, portfolio theory, and capital budgeting within the context of financial institutions specific to agriculture. Not open to students with credit in AGB310."
CalPoly_AGB 309,Agribusiness,Advanced Sales Techniques,4 units,['Winter'],"Expansion of basic sales principles and skills, focusing on prospecting, sales styles, pipelining, forecasting, and product planning."
